id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,TT2,BESTEFFORT,COMPLETED,cpu-1,0.701,"{'cpu-1': 2.421, 'cpu-2': 8.507, 'cpu-3': 10.361, 'gpu-1': 0.912}",108.945,0.701,3.122,inf,3.7010000000000005,5.2010000000000005
1,TT2,BESTEFFORT,COMPLETED,cpu-2,2.258,"{'cpu-1': 3.923, 'cpu-2': 1.939, 'cpu-3': 4.779, 'gpu-1': 0.674}",87.255,2.258,4.197,inf,5.258,6.758
2,TT2,BESTEFFORT,MISSED,cpu-3,3.058,"{'cpu-1': 3.622, 'cpu-2': 4.028, 'cpu-3': 8.464, 'gpu-1': 1.394}",202.5,3.058,inf,7.558,6.058,7.558
3,TT2,BESTEFFORT,COMPLETED,gpu-1,3.909,"{'cpu-1': 13.378, 'cpu-2': 4.239, 'cpu-3': 3.337, 'gpu-1': 0.767}",72.865,3.909,4.676,inf,6.908999999999999,8.408999999999999
4,TT2,BESTEFFORT,COMPLETED,cpu-1,4.333,"{'cpu-1': 2.346, 'cpu-2': 5.572, 'cpu-3': 5.089, 'gpu-1': 0.608}",105.57000000000001,4.333,6.679,inf,7.333,8.833
5,TT2,BESTEFFORT,XCOMPLETED,cpu-2,4.461,"{'cpu-1': 4.341, 'cpu-2': 4.098, 'cpu-3': 2.687, 'gpu-1': 2.247}",184.41,4.461,8.559000000000001,inf,7.461,8.961
6,TT2,BESTEFFORT,MISSED,cpu-3,5.691,"{'cpu-1': 4.209, 'cpu-2': 3.297, 'cpu-3': 5.106, 'gpu-1': 2.166}",118.48499999999996,7.558,inf,10.190999999999999,8.690999999999999,10.190999999999999
7,TT2,BESTEFFORT,COMPLETED,gpu-1,6.579,"{'cpu-1': 4.721, 'cpu-2': 6.133, 'cpu-3': 9.02, 'gpu-1': 2.956}",280.82,6.579,9.535,inf,9.579,11.079
8,TT2,BESTEFFORT,MISSED,cpu-1,6.897,"{'cpu-1': 7.584, 'cpu-2': 10.557, 'cpu-3': 3.161, 'gpu-1': 1.851}",202.5,6.897,inf,11.397,9.897,11.397
9,TT2,BESTEFFORT,MISSED,cpu-2,7.163,"{'cpu-1': 11.529, 'cpu-2': 8.906, 'cpu-3': 13.587, 'gpu-1': 0.771}",139.67999999999995,8.559000000000001,inf,11.663,10.163,11.663
10,TT2,BESTEFFORT,MISSED,cpu-3,7.465,"{'cpu-1': 11.71, 'cpu-2': 2.296, 'cpu-3': 4.537, 'gpu-1': 0.591}",79.83000000000004,10.190999999999999,inf,11.965,10.465,11.965
11,TT2,BESTEFFORT,XCOMPLETED,gpu-1,7.67,"{'cpu-1': 3.029, 'cpu-2': 9.123, 'cpu-3': 7.031, 'gpu-1': 1.42}",134.9,9.535,10.955,inf,10.67,12.17
12,TT2,BESTEFFORT,MISSED,cpu-1,10.468,"{'cpu-1': 7.031, 'cpu-2': 7.372, 'cpu-3': 12.341, 'gpu-1': 3.162}",160.695,11.397,inf,14.968,13.468,14.968
13,TT2,BESTEFFORT,MISSED,cpu-2,10.519,"{'cpu-1': 13.751, 'cpu-2': 4.612, 'cpu-3': 9.635, 'gpu-1': 2.116}",151.01999999999998,11.663,inf,15.019,13.519,15.019
14,TT2,BESTEFFORT,COMPLETED,cpu-3,12.365,"{'cpu-1': 5.064, 'cpu-2': 2.794, 'cpu-3': 2.696, 'gpu-1': 2.007}",121.32000000000001,12.365,15.061,inf,15.365000000000002,16.865000000000002
15,TT2,BESTEFFORT,XCOMPLETED,gpu-1,13.836,"{'cpu-1': 12.385, 'cpu-2': 8.387, 'cpu-3': 1.764, 'gpu-1': 3.486}",331.17,13.836,17.322,inf,16.836,18.336
16,TT2,BESTEFFORT,MISSED,cpu-1,15.302,"{'cpu-1': 6.791, 'cpu-2': 2.762, 'cpu-3': 3.279, 'gpu-1': 2.838}",202.5,15.302,inf,19.802,18.302,19.802
17,TT2,BESTEFFORT,MISSED,cpu-2,16.405,"{'cpu-1': 12.529, 'cpu-2': 6.228, 'cpu-3': 2.127, 'gpu-1': 1.926}",202.5,16.405,inf,20.905,19.405,20.905
18,TT2,BESTEFFORT,COMPLETED,cpu-3,17.585,"{'cpu-1': 13.39, 'cpu-2': 1.641, 'cpu-3': 1.495, 'gpu-1': 0.68}",67.275,17.585,19.080000000000002,inf,20.585,22.085
19,TT2,BESTEFFORT,COMPLETED,gpu-1,19.297,"{'cpu-1': 12.1, 'cpu-2': 11.641, 'cpu-3': 2.687, 'gpu-1': 0.992}",94.24,19.297,20.289,inf,22.297,23.797
20,TT2,BESTEFFORT,COMPLETED,cpu-1,19.853,"{'cpu-1': 2.515, 'cpu-2': 12.035, 'cpu-3': 3.299, 'gpu-1': 0.929}",113.17500000000001,19.853,22.368000000000002,inf,22.853,24.353
21,TT2,BESTEFFORT,XCOMPLETED,cpu-2,23.012,"{'cpu-1': 5.338, 'cpu-2': 4.32, 'cpu-3': 6.492, 'gpu-1': 0.89}",194.4,23.012,27.332,inf,26.012,27.512
22,TT2,BESTEFFORT,XCOMPLETED,cpu-3,25.149,"{'cpu-1': 8.1, 'cpu-2': 1.81, 'cpu-3': 4.146, 'gpu-1': 1.919}",186.57,25.149,29.295,inf,28.149,29.649
23,TT2,BESTEFFORT,COMPLETED,gpu-1,26.958,"{'cpu-1': 4.781, 'cpu-2': 1.967, 'cpu-3': 1.408, 'gpu-1': 2.525}",239.875,26.958,29.482999999999997,inf,29.958,31.458
24,TT2,BESTEFFORT,MISSED,cpu-1,27.146,"{'cpu-1': 7.084, 'cpu-2': 3.855, 'cpu-3': 9.015, 'gpu-1': 2.392}",202.5,27.146,inf,31.646,30.146,31.646
25,TT2,BESTEFFORT,COMPLETED,cpu-2,27.153,"{'cpu-1': 7.758, 'cpu-2': 2.802, 'cpu-3': 5.97, 'gpu-1': 1.201}",126.09,27.332,30.134,inf,30.153,31.653
26,TT2,BESTEFFORT,COMPLETED,cpu-3,29.191,"{'cpu-1': 3.92, 'cpu-2': 5.698, 'cpu-3': 1.764, 'gpu-1': 3.012}",79.38,29.295,31.059,inf,32.191,33.691
27,TT2,BESTEFFORT,COMPLETED,gpu-1,30.407,"{'cpu-1': 4.339, 'cpu-2': 13.9, 'cpu-3': 1.748, 'gpu-1': 2.173}",206.435,30.407,32.58,inf,33.407,34.907
28,TT2,BESTEFFORT,MISSED,cpu-1,30.587,"{'cpu-1': 4.16, 'cpu-2': 7.266, 'cpu-3': 3.698, 'gpu-1': 1.438}",154.8450000000001,31.646,inf,35.087,33.587,35.087
29,TT2,BESTEFFORT,MISSED,cpu-2,30.672,"{'cpu-1': 8.71, 'cpu-2': 7.377, 'cpu-3': 11.941, 'gpu-1': 2.199}",202.49999999999983,30.672,inf,35.172,33.672,35.172
30,TT2,BESTEFFORT,COMPLETED,cpu-3,31.538,"{'cpu-1': 6.317, 'cpu-2': 1.807, 'cpu-3': 2.369, 'gpu-1': 1.535}",106.605,31.538,33.907000000000004,inf,34.538,36.038
31,TT2,BESTEFFORT,COMPLETED,gpu-1,31.976,"{'cpu-1': 2.421, 'cpu-2': 4.99, 'cpu-3': 5.206, 'gpu-1': 0.614}",58.33,32.58,33.193999999999996,inf,34.976,36.476
32,TT2,BESTEFFORT,MISSED,cpu-1,36.356,"{'cpu-1': 5.18, 'cpu-2': 2.421, 'cpu-3': 2.296, 'gpu-1': 0.656}",202.5,36.356,inf,40.856,39.356,40.856
33,TT2,BESTEFFORT,MISSED,cpu-2,36.469,"{'cpu-1': 1.76, 'cpu-2': 9.144, 'cpu-3': 3.263, 'gpu-1': 0.973}",202.5,36.469,inf,40.969,39.469,40.969
34,TT2,BESTEFFORT,COMPLETED,cpu-3,36.685,"{'cpu-1': 2.271, 'cpu-2': 4.598, 'cpu-3': 2.227, 'gpu-1': 0.941}",100.21499999999999,36.685,38.912,inf,39.685,41.185
35,TT2,BESTEFFORT,COMPLETED,gpu-1,37.553,"{'cpu-1': 2.881, 'cpu-2': 5.487, 'cpu-3': 2.662, 'gpu-1': 1.255}",119.225,37.553,38.808,inf,40.553,42.053
36,TT2,BESTEFFORT,MISSED,cpu-1,37.742,"{'cpu-1': 3.284, 'cpu-2': 4.507, 'cpu-3': 5.572, 'gpu-1': 1.924}",62.369999999999806,40.856,inf,42.242,40.742,42.242
37,TT2,BESTEFFORT,MISSED,cpu-2,38.213,"{'cpu-1': 4.033, 'cpu-2': 14.09, 'cpu-3': 6.317, 'gpu-1': 1.124}",78.47999999999999,40.969,inf,42.713,41.213,42.713
38,TT2,BESTEFFORT,XCOMPLETED,cpu-3,38.226,"{'cpu-1': 6.228, 'cpu-2': 3.791, 'cpu-3': 2.369, 'gpu-1': 1.189}",106.605,38.912,41.281,inf,41.226,42.726
39,TT2,BESTEFFORT,COMPLETED,gpu-1,38.879,"{'cpu-1': 4.972, 'cpu-2': 1.602, 'cpu-3': 2.738, 'gpu-1': 1.176}",111.72,38.879,40.055,inf,41.879,43.379
40,TT2,BESTEFFORT,MISSED,cpu-1,38.988,"{'cpu-1': 7.429, 'cpu-2': 3.368, 'cpu-3': 4.516, 'gpu-1': 1.236}",56.0700000000001,42.242,inf,43.488,41.988,43.488
41,TT2,BESTEFFORT,MISSED,cpu-2,39.653,"{'cpu-1': 2.153, 'cpu-2': 2.193, 'cpu-3': 4.845, 'gpu-1': 3.015}",64.7999999999999,42.713,inf,44.153,42.653,44.153
42,TT2,BESTEFFORT,MISSED,cpu-3,40.053,"{'cpu-1': 3.046, 'cpu-2': 3.873, 'cpu-3': 3.752, 'gpu-1': 1.452}",147.23999999999992,41.281,inf,44.553,43.053,44.553
43,TT2,BESTEFFORT,COMPLETED,gpu-1,40.213,"{'cpu-1': 3.297, 'cpu-2': 2.206, 'cpu-3': 8.991, 'gpu-1': 0.748}",71.06,40.213,40.961,inf,43.213,44.713
44,TT2,BESTEFFORT,MISSED,cpu-1,41.442,"{'cpu-1': 3.858, 'cpu-2': 4.776, 'cpu-3': 2.696, 'gpu-1': 1.229}",110.43000000000004,43.488,inf,45.942,44.442,45.942
45,TT2,BESTEFFORT,MISSED,cpu-2,41.625,"{'cpu-1': 4.324, 'cpu-2': 3.654, 'cpu-3': 1.807, 'gpu-1': 0.805}",88.74000000000007,44.153,inf,46.125,44.625,46.125
46,TT2,BESTEFFORT,MISSED,cpu-3,42.659,"{'cpu-1': 5.263, 'cpu-2': 7.011, 'cpu-3': 9.3, 'gpu-1': 0.666}",117.27000000000007,44.553,inf,47.159,45.659,47.159
47,TT2,BESTEFFORT,COMPLETED,gpu-1,45.739,"{'cpu-1': 3.969, 'cpu-2': 11.024, 'cpu-3': 3.032, 'gpu-1': 1.597}",151.715,45.739,47.336,inf,48.739,50.239
48,TT2,BESTEFFORT,MISSED,cpu-1,45.84,"{'cpu-1': 11.268, 'cpu-2': 5.1, 'cpu-3': 3.755, 'gpu-1': 0.767}",197.91000000000014,45.942,inf,50.34,48.84,50.34
49,TT2,BESTEFFORT,MISSED,cpu-2,46.305,"{'cpu-1': 9.015, 'cpu-2': 5.708, 'cpu-3': 5.491, 'gpu-1': 0.885}",202.5,46.305,inf,50.805,49.305,50.805
50,TT2,BESTEFFORT,MISSED,cpu-3,46.972,"{'cpu-1': 1.799, 'cpu-2': 3.626, 'cpu-3': 8.906, 'gpu-1': 3.579}",194.0850000000001,47.159,inf,51.472,49.972,51.472
51,TT2,BESTEFFORT,COMPLETED,gpu-1,47.874,"{'cpu-1': 2.241, 'cpu-2': 8.783, 'cpu-3': 3.658, 'gpu-1': 2.774}",263.53000000000003,47.874,50.648,inf,50.874,52.374
52,TT2,BESTEFFORT,XCOMPLETED,cpu-1,48.412,"{'cpu-1': 2.241, 'cpu-2': 4.085, 'cpu-3': 9.635, 'gpu-1': 0.683}",100.845,50.34,52.581,inf,51.412,52.912
53,TT2,BESTEFFORT,MISSED,cpu-2,49.298,"{'cpu-1': 5.512, 'cpu-2': 13.011, 'cpu-3': 3.984, 'gpu-1': 2.873}",134.6850000000001,50.805,inf,53.798,52.298,53.798
54,TT2,BESTEFFORT,MISSED,cpu-3,49.301,"{'cpu-1': 6.156, 'cpu-2': 3.21, 'cpu-3': 8.337, 'gpu-1': 1.531}",104.80500000000004,51.472,inf,53.801,52.301,53.801
55,TT2,BESTEFFORT,COMPLETED,gpu-1,51.557,"{'cpu-1': 5.327, 'cpu-2': 3.004, 'cpu-3': 3.028, 'gpu-1': 0.896}",85.12,51.557,52.453,inf,54.557,56.057
56,TT2,BESTEFFORT,MISSED,cpu-1,52.647,"{'cpu-1': 12.36, 'cpu-2': 11.37, 'cpu-3': 6.769, 'gpu-1': 2.56}",202.5,52.647,inf,57.147,55.647,57.147
57,TT2,BESTEFFORT,MISSED,cpu-2,55.042,"{'cpu-1': 12.463, 'cpu-2': 6.132, 'cpu-3': 2.024, 'gpu-1': 2.182}",202.5,55.042,inf,59.542,58.042,59.542
58,TT2,BESTEFFORT,MISSED,cpu-3,55.061,"{'cpu-1': 4.373, 'cpu-2': 10.478, 'cpu-3': 13.942, 'gpu-1': 0.733}",202.5,55.061,inf,59.561,58.061,59.561
59,TT2,BESTEFFORT,COMPLETED,gpu-1,55.889,"{'cpu-1': 5.466, 'cpu-2': 4.524, 'cpu-3': 1.532, 'gpu-1': 1.35}",128.25,55.889,57.239000000000004,inf,58.889,60.389
60,TT2,BESTEFFORT,MISSED,cpu-1,56.827,"{'cpu-1': 4.507, 'cpu-2': 9.818, 'cpu-3': 6.086, 'gpu-1': 3.336}",188.1,57.147,inf,61.327,59.827,61.327
61,TT2,BESTEFFORT,MISSED,cpu-2,57.331,"{'cpu-1': 3.029, 'cpu-2': 5.263, 'cpu-3': 1.743, 'gpu-1': 1.663}",103.00500000000007,59.542,inf,61.831,60.331,61.831
62,TT2,BESTEFFORT,MISSED,cpu-3,57.387,"{'cpu-1': 5.698, 'cpu-2': 3.029, 'cpu-3': 3.165, 'gpu-1': 2.006}",104.67000000000002,59.561,inf,61.887,60.387,61.887
63,TT2,BESTEFFORT,COMPLETED,gpu-1,59.486,"{'cpu-1': 3.165, 'cpu-2': 9.003, 'cpu-3': 2.727, 'gpu-1': 2.139}",203.20499999999998,59.486,61.625,inf,62.486,63.986
64,TT2,BESTEFFORT,XCOMPLETED,cpu-1,62.766,"{'cpu-1': 3.052, 'cpu-2': 5.388, 'cpu-3': 2.313, 'gpu-1': 0.947}",137.34,62.766,65.818,inf,65.76599999999999,67.26599999999999
65,TT2,BESTEFFORT,XCOMPLETED,cpu-2,63.442,"{'cpu-1': 5.219, 'cpu-2': 3.176, 'cpu-3': 2.688, 'gpu-1': 3.275}",142.92000000000002,63.442,66.618,inf,66.44200000000001,67.94200000000001
66,TT2,BESTEFFORT,MISSED,cpu-3,65.012,"{'cpu-1': 10.607, 'cpu-2': 2.819, 'cpu-3': 5.298, 'gpu-1': 2.113}",202.5,65.012,inf,69.512,68.012,69.512
67,TT2,BESTEFFORT,XCOMPLETED,gpu-1,65.122,"{'cpu-1': 7.403, 'cpu-2': 2.172, 'cpu-3': 8.515, 'gpu-1': 3.051}",289.845,65.122,68.173,inf,68.122,69.622
68,TT2,BESTEFFORT,MISSED,cpu-1,65.261,"{'cpu-1': 12.713, 'cpu-2': 6.126, 'cpu-3': 5.255, 'gpu-1': 1.562}",177.4349999999999,65.818,inf,69.761,68.261,69.761
69,TT2,BESTEFFORT,XCOMPLETED,cpu-2,68.861,"{'cpu-1': 9.635, 'cpu-2': 3.223, 'cpu-3': 1.969, 'gpu-1': 2.412}",145.035,68.861,72.084,inf,71.861,73.361
70,TT2,BESTEFFORT,XCOMPLETED,cpu-3,69.542,"{'cpu-1': 8.387, 'cpu-2': 11.718, 'cpu-3': 4.24, 'gpu-1': 2.845}",190.8,69.542,73.782,inf,72.542,74.042
71,TT2,BESTEFFORT,COMPLETED,gpu-1,71.014,"{'cpu-1': 5.607, 'cpu-2': 4.524, 'cpu-3': 4.488, 'gpu-1': 0.67}",63.650000000000006,71.014,71.684,inf,74.014,75.514
72,TT2,BESTEFFORT,MISSED,cpu-1,74.718,"{'cpu-1': 7.091, 'cpu-2': 1.81, 'cpu-3': 13.097, 'gpu-1': 0.656}",202.5,74.718,inf,79.218,77.718,79.218
73,TT2,BESTEFFORT,MISSED,cpu-2,75.66,"{'cpu-1': 4.858, 'cpu-2': 12.475, 'cpu-3': 3.297, 'gpu-1': 0.856}",202.5,75.66,inf,80.16,78.66,80.16
74,TT2,BESTEFFORT,COMPLETED,cpu-3,78.125,"{'cpu-1': 8.05, 'cpu-2': 3.949, 'cpu-3': 1.899, 'gpu-1': 1.352}",85.455,78.125,80.024,inf,81.125,82.625
75,TT2,BESTEFFORT,COMPLETED,gpu-1,78.569,"{'cpu-1': 6.228, 'cpu-2': 3.295, 'cpu-3': 1.939, 'gpu-1': 1.072}",101.84,78.569,79.641,inf,81.569,83.069
76,TT2,BESTEFFORT,MISSED,cpu-1,80.896,"{'cpu-1': 9.643, 'cpu-2': 11.928, 'cpu-3': 2.544, 'gpu-1': 0.919}",202.5,80.896,inf,85.396,83.896,85.396
77,TT2,BESTEFFORT,COMPLETED,cpu-2,81.673,"{'cpu-1': 8.164, 'cpu-2': 2.197, 'cpu-3': 5.61, 'gpu-1': 1.728}",98.86500000000001,81.673,83.87,inf,84.673,86.173
78,TT2,BESTEFFORT,COMPLETED,cpu-3,81.953,"{'cpu-1': 3.888, 'cpu-2': 10.601, 'cpu-3': 2.193, 'gpu-1': 1.062}",98.685,81.953,84.146,inf,84.953,86.453
