id,type,urgency,status,assigned_machine,arrival_time,execution_time,energy_usage,start_time,completion_time,missed_time,deadline,extended_deadline
0,TT2,BESTEFFORT,COMPLETED,gpu-1,0.701,"{'cpu-1': 2.421, 'cpu-2': 8.507, 'gpu-1': 0.912}",86.64,0.701,1.613,inf,3.7010000000000005,5.2010000000000005
1,TT2,BESTEFFORT,COMPLETED,gpu-1,2.258,"{'cpu-1': 3.923, 'cpu-2': 1.939, 'gpu-1': 0.674}",64.03,2.258,2.932,inf,5.258,6.758
2,TT2,BESTEFFORT,COMPLETED,gpu-1,3.058,"{'cpu-1': 3.622, 'cpu-2': 4.028, 'gpu-1': 1.394}",132.42999999999998,3.058,4.452,inf,6.058,7.558
3,TT2,BESTEFFORT,COMPLETED,gpu-1,3.909,"{'cpu-1': 13.378, 'cpu-2': 4.239, 'gpu-1': 0.767}",72.865,4.452,5.219,inf,6.908999999999999,8.408999999999999
4,TT2,BESTEFFORT,COMPLETED,gpu-1,4.333,"{'cpu-1': 2.346, 'cpu-2': 5.572, 'gpu-1': 0.608}",57.76,5.219,5.827,inf,7.333,8.833
5,TT2,BESTEFFORT,XCOMPLETED,cpu-1,4.461,"{'cpu-1': 4.341, 'cpu-2': 4.098, 'gpu-1': 2.247}",195.345,4.461,8.802,inf,7.461,8.961
6,TT2,BESTEFFORT,XCOMPLETED,cpu-2,5.691,"{'cpu-1': 4.209, 'cpu-2': 3.297, 'gpu-1': 2.166}",148.365,5.691,8.988,inf,8.690999999999999,10.190999999999999
7,TT2,BESTEFFORT,COMPLETED,gpu-1,6.579,"{'cpu-1': 4.721, 'cpu-2': 6.133, 'gpu-1': 2.956}",280.82,6.579,9.535,inf,9.579,11.079
8,TT2,BESTEFFORT,XCOMPLETED,gpu-1,6.897,"{'cpu-1': 7.584, 'cpu-2': 10.557, 'gpu-1': 1.851}",175.845,9.535,11.386,inf,9.897,11.397
9,TT2,BESTEFFORT,MISSED,cpu-1,7.163,"{'cpu-1': 11.529, 'cpu-2': 8.906, 'gpu-1': 0.771}",128.74500000000003,8.802,inf,11.663,10.163,11.663
10,TT2,BESTEFFORT,MISSED,gpu-1,7.465,"{'cpu-1': 11.71, 'cpu-2': 2.296, 'gpu-1': 0.591}",55.00500000000006,11.386,inf,11.965,10.465,11.965
11,TT2,BESTEFFORT,MISSED,gpu-1,7.67,"{'cpu-1': 3.029, 'cpu-2': 9.123, 'gpu-1': 1.42}",19.47500000000001,11.965,inf,12.17,10.67,12.17
12,TT2,BESTEFFORT,MISSED,gpu-1,10.468,"{'cpu-1': 7.031, 'cpu-2': 7.372, 'gpu-1': 3.162}",265.81,12.17,inf,14.968,13.468,14.968
13,TT2,BESTEFFORT,MISSED,gpu-1,10.519,"{'cpu-1': 13.751, 'cpu-2': 4.612, 'gpu-1': 2.116}",4.845000000000015,14.968,inf,15.019,13.519,15.019
14,TT2,BESTEFFORT,MISSED,cpu-1,12.365,"{'cpu-1': 5.064, 'cpu-2': 2.794, 'gpu-1': 2.007}",202.50000000000009,12.365,inf,16.865000000000002,15.365000000000002,16.865000000000002
15,TT2,BESTEFFORT,MISSED,cpu-2,13.836,"{'cpu-1': 12.385, 'cpu-2': 8.387, 'gpu-1': 3.486}",202.49999999999991,13.836,inf,18.336,16.836,18.336
